1;1;1;15-01-2024;150000.00;Tiền mặt;200000.00;50000.00
2;1;2;20-02-2024;120000.00;Tiền mặt;150000.00;30000.00
3;2;3;05-03-2024;180000.00;Chuyển khoản;200000.00;20000.00
4;2;4;10-04-2024;250000.00;Tiền mặt;300000.00;50000.00
5;3;1;25-05-2024;200000.00;Tiền mặt;250000.00;50000.00
6;3;2;30-06-2024;300000.00;Chuyển khoản;350000.00;50000.00
7;4;3;15-07-2024;100000.00;Tiền mặt;150000.00;50000.00
8;4;4;22-08-2024;220000.00;Tiền mặt;300000.00;80000.00
9;1;1;28-09-2024;270000.00;Chuyển khoản;300000.00;30000.00
10;2;2;10-10-2024;310000.00;Tiền mặt;400000.00;90000.00
11;3;3;15-11-2024;420000.00;Tiền mặt;500000.00;80000.00
12;3;4;20-12-2024;500000.00;Chuyển khoản;600000.00;100000.00
